jour_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
mardi;2023-05-30;27;47;33;29;32;8;2;-27-29-32-33-47-;-2-8-
vendredi;2023-05-26;38;25;15;37;41;1;7;-15-25-37-38-41-;-1-7-
mardi;2023-05-23;34;5;14;6;23;11;2;-5-6-14-23-34-;-2-11-
vendredi;2023-05-19;41;27;34;49;18;3;9;-18-27-34-41-49-;-3-9-
mardi;2023-05-16;14;6;9;4;37;4;11;-4-6-9-14-37-;-4-11-
vendredi;2023-05-12;9;44;13;39;10;6;4;-9-10-13-39-44-;-4-6-
mardi;2023-05-09;21;28;13;17;46;9;7;-13-17-21-28-46-;-7-9-
vendredi;2023-05-05;34;8;49;18;3;3;7;-3-8-18-34-49-;-3-7-
mardi;2023-05-02;48;44;32;7;47;8;7;-7-32-44-47-48-;-7-8-
vendredi;2023-04-28;34;23;11;13;16;1;10;-11-13-16-23-34-;-1-10-
mardi;2023-04-25;29;45;40;10;30;12;1;-10-29-30-40-45-;-1-12-
vendredi;2023-04-21;18;8;7;42;33;8;2;-7-8-18-33-42-;-2-8-
mardi;2023-04-18;37;21;17;35;23;11;10;-17-21-23-35-37-;-10-11-
vendredi;2023-04-14;44;4;37;49;11;7;6;-4-11-37-44-49-;-6-7-
mardi;2023-04-11;19;16;14;29;10;2;10;-10-14-16-19-29-;-2-10-
vendredi;2023-04-07;26;28;46;5;36;12;6;-5-26-28-36-46-;-6-12-
mardi;2023-04-04;50;33;16;31;10;3;8;-10-16-31-33-50-;-3-8-
vendredi;2023-03-31;28;34;47;16;18;10;5;-16-18-28-34-47-;-5-10-
mardi;2023-03-28;21;16;34;36;44;9;10;-16-21-34-36-44-;-9-10-
vendredi;2023-03-24;36;25;5;46;12;10;6;-5-12-25-36-46-;-6-10-
mardi;2023-03-21;29;1;9;32;20;3;2;-1-9-20-29-32-;-2-3-
vendredi;2023-03-17;37;5;26;15;49;8;11;-5-15-26-37-49-;-8-11-
mardi;2023-03-14;26;46;28;31;16;12;11;-16-26-28-31-46-;-11-12-
vendredi;2023-03-10;9;16;48;37;38;7;2;-9-16-37-38-48-;-2-7-
mardi;2023-03-07;50;24;35;13;11;6;11;-11-13-24-35-50-;-6-11-
vendredi;2023-03-03;24;3;8;50;6;10;11;-3-6-8-24-50-;-10-11-
mardi;2023-02-28;29;33;12;37;47;10;5;-12-29-33-37-47-;-5-10-
vendredi;2023-02-24;42;34;7;23;48;1;3;-7-23-34-42-48-;-1-3-
mardi;2023-02-21;49;41;22;34;21;2;7;-21-22-34-41-49-;-2-7-
vendredi;2023-02-17;42;27;45;23;8;1;9;-8-23-27-42-45-;-1-9-
mardi;2023-02-14;43;24;46;26;38;2;3;-24-26-38-43-46-;-2-3-
vendredi;2023-02-10;3;13;36;25;47;3;8;-3-13-25-36-47-;-3-8-
mardi;2023-02-07;8;47;34;44;2;9;3;-2-8-34-44-47-;-3-9-
vendredi;2023-02-03;14;32;45;2;17;10;3;-2-14-17-32-45-;-3-10-
mardi;2023-01-31;7;12;33;43;19;3;7;-7-12-19-33-43-;-3-7-
vendredi;2023-01-27;15;19;31;8;9;12;10;-8-9-15-19-31-;-10-12-
mardi;2023-01-24;11;27;47;41;43;7;11;-11-27-41-43-47-;-7-11-
vendredi;2023-01-20;40;6;13;42;3;7;11;-3-6-13-40-42-;-7-11-
mardi;2023-01-17;18;46;30;50;21;2;6;-18-21-30-46-50-;-2-6-
vendredi;2023-01-13;13;4;33;25;37;10;5;-4-13-25-33-37-;-5-10-
mardi;2023-01-10;42;11;34;13;40;10;3;-11-13-34-40-42-;-3-10-
vendredi;2023-01-06;44;16;35;45;31;12;4;-16-31-35-44-45-;-4-12-
mardi;2023-01-03;20;29;21;46;45;10;3;-20-21-29-45-46-;-3-10-
vendredi;2022-12-30;48;42;17;34;47;1;9;-17-34-42-47-48-;-1-9-
mardi;2022-12-27;33;31;19;34;43;5;3;-19-31-33-34-43-;-3-5-
vendredi;2022-12-23;16;17;26;23;35;5;11;-16-17-23-26-35-;-5-11-
mardi;2022-12-20;1;20;11;17;27;4;5;-1-11-17-20-27-;-4-5-
vendredi;2022-12-16;2;15;44;35;19;7;2;-2-15-19-35-44-;-2-7-
mardi;2022-12-13;30;3;12;26;9;10;11;-3-9-12-26-30-;-10-11-
vendredi;2022-12-09;8;46;31;27;50;3;1;-8-27-31-46-50-;-1-3-
mardi;2022-12-06;20;25;27;26;12;8;12;-12-20-25-26-27-;-8-12-
vendredi;2022-12-02;39;12;35;21;45;11;6;-12-21-35-39-45-;-6-11-
mardi;2022-11-29;20;38;35;15;24;12;8;-15-20-24-35-38-;-8-12-
vendredi;2022-11-25;21;19;39;35;37;2;6;-19-21-35-37-39-;-2-6-
mardi;2022-11-22;24;29;42;21;22;3;11;-21-22-24-29-42-;-3-11-
vendredi;2022-11-18;41;13;35;19;16;11;1;-13-16-19-35-41-;-1-11-
mardi;2022-11-15;31;21;13;24;33;1;12;-13-21-24-31-33-;-1-12-
vendredi;2022-11-11;25;2;19;44;24;2;10;-2-19-24-25-44-;-2-10-
mardi;2022-11-08;50;32;33;5;3;1;8;-3-5-32-33-50-;-1-8-
vendredi;2022-11-04;11;2;37;47;45;2;3;-2-11-37-45-47-;-2-3-
mardi;2022-11-01;42;48;19;37;47;6;1;-19-37-42-47-48-;-1-6-
vendredi;2022-10-28;28;35;21;16;14;11;1;-14-16-21-28-35-;-1-11-
mardi;2022-10-25;24;7;46;34;39;6;1;-7-24-34-39-46-;-1-6-
vendredi;2022-10-21;26;28;38;25;40;1;6;-25-26-28-38-40-;-1-6-
mardi;2022-10-18;42;3;5;48;13;6;1;-3-5-13-42-48-;-1-6-
vendredi;2022-10-14;28;48;29;24;34;7;3;-24-28-29-34-48-;-3-7-
mardi;2022-10-11;40;35;8;32;23;8;1;-8-23-32-35-40-;-1-8-
vendredi;2022-10-07;50;27;45;26;42;12;1;-26-27-42-45-50-;-1-12-
mardi;2022-10-04;3;28;18;43;42;12;3;-3-18-28-42-43-;-3-12-
vendredi;2022-09-30;2;16;11;1;26;3;12;-1-2-11-16-26-;-3-12-
mardi;2022-09-27;34;4;44;20;21;3;1;-4-20-21-34-44-;-1-3-
vendredi;2022-09-23;22;35;48;15;14;8;3;-14-15-22-35-48-;-3-8-
mardi;2022-09-20;21;11;32;48;23;12;3;-11-21-23-32-48-;-3-12-
vendredi;2022-09-16;49;10;45;36;27;3;4;-10-27-36-45-49-;-3-4-
mardi;2022-09-13;40;9;12;15;47;1;11;-9-12-15-40-47-;-1-11-
vendredi;2022-09-09;26;17;23;24;27;4;9;-17-23-24-26-27-;-4-9-
mardi;2022-09-06;10;44;7;29;22;4;5;-7-10-22-29-44-;-4-5-
vendredi;2022-09-02;7;45;12;20;13;3;12;-7-12-13-20-45-;-3-12-
mardi;2022-08-30;6;10;4;15;19;1;4;-4-6-10-15-19-;-1-4-
vendredi;2022-08-26;22;23;44;25;38;12;11;-22-23-25-38-44-;-11-12-
mardi;2022-08-23;48;39;26;19;31;2;3;-19-26-31-39-48-;-2-3-
vendredi;2022-08-18;9;2;19;38;13;2;6;-2-9-13-19-38-;-2-6-
mardi;2022-08-16;10;25;14;39;32;7;8;-10-14-25-32-39-;-7-8-
vendredi;2022-08-12;14;42;35;17;34;10;6;-14-17-34-35-42-;-6-10-
mardi;2022-08-09;47;18;21;19;27;11;5;-18-19-21-27-47-;-5-11-
vendredi;2022-08-05;29;3;44;33;35;10;8;-3-29-33-35-44-;-8-10-
mardi;2022-08-02;28;48;18;40;7;11;8;-7-18-28-40-48-;-8-11-
vendredi;2022-07-29;38;48;43;23;3;8;3;-3-23-38-43-48-;-3-8-
mardi;2022-07-26;3;5;17;27;25;9;1;-3-5-17-25-27-;-1-9-
vendredi;2022-07-22;32;29;50;18;16;11;4;-16-18-29-32-50-;-4-11-
mardi;2022-07-19;41;6;27;40;23;2;12;-6-23-27-40-41-;-2-12-
vendredi;2022-07-15;38;17;29;9;39;10;7;-9-17-29-38-39-;-7-10-
mardi;2022-07-12;50;18;25;24;14;11;6;-14-18-24-25-50-;-6-11-
vendredi;2022-07-08;28;46;43;35;31;7;4;-28-31-35-43-46-;-4-7-
mardi;2022-07-05;7;25;48;45;10;3;6;-7-10-25-45-48-;-3-6-
vendredi;2022-07-01;46;6;34;24;18;12;3;-6-18-24-34-46-;-3-12-
mardi;2022-06-28;35;10;47;42;48;11;2;-10-35-42-47-48-;-2-11-
vendredi;2022-06-24;50;44;17;10;28;12;8;-10-17-28-44-50-;-8-12-
mardi;2022-06-21;23;36;39;6;47;10;8;-6-23-36-39-47-;-8-10-
vendredi;2022-06-17;21;22;38;19;31;7;11;-19-21-22-31-38-;-7-11-
mardi;2022-06-14;7;40;2;27;34;3;11;-2-7-27-34-40-;-3-11-
vendredi;2022-06-10;37;26;40;17;36;9;12;-17-26-36-37-40-;-9-12-
mardi;2022-06-07;17;6;31;25;16;2;6;-6-16-17-25-31-;-2-6-
vendredi;2022-06-03;29;12;48;28;34;9;11;-12-28-29-34-48-;-9-11-
mardi;2022-05-31;42;13;10;49;3;3;9;-3-10-13-42-49-;-3-9-
vendredi;2022-05-27;15;34;28;48;23;3;5;-15-23-28-34-48-;-3-5-
mardi;2022-05-24;27;13;10;36;37;10;2;-10-13-27-36-37-;-2-10-
vendredi;2022-05-20;32;23;8;22;50;3;9;-8-22-23-32-50-;-3-9-
